date,open,close,high,low
2025-05-08,70.381,71.031,71.671,69.911
2025-05-09,71.021,71.831,72.061,70.741
2025-05-12,72.131,72.611,72.771,71.931
2025-05-13,73.031,73.141,73.231,72.471
2025-05-14,72.931,73.121,73.581,72.161
2025-05-15,72.691,72.531,73.101,72.351
2025-05-16,72.241,72.631,72.871,71.601
2025-05-19,72.471,73.611,73.751,72.321
2025-05-20,73.561,74.701,75.131,73.511
2025-05-21,74.531,74.831,75.471,74.501
2025-05-22,74.761,75.391,75.591,74.341
2025-05-23,75.391,74.921,76.511,74.751
2025-05-26,74.751,74.301,75.221,73.641
2025-05-27,74.231,74.511,74.921,74.051
2025-05-28,75.011,75.351,76.131,74.731
2025-05-29,75.101,75.011,75.521,74.391
2025-05-30,74.771,75.091,75.541,74.331
2025-06-03,75.081,71.941,75.081,71.701
2025-06-04,71.811,71.591,72.611,71.531
2025-06-05,71.471,71.281,71.931,71.081
2025-06-06,71.401,71.731,71.861,71.131
2025-06-09,71.281,71.431,71.611,70.101
2025-06-10,71.661,71.081,72.531,71.081
2025-06-11,71.231,71.521,71.831,70.861
2025-06-12,72.020,71.710,72.190,71.040
2025-06-13,71.110,70.990,71.670,70.510
2025-06-16,71.110,70.770,71.310,70.360
2025-06-17,71.310,71.570,72.590,71.310
2025-06-18,71.700,71.610,72.150,71.530
2025-06-19,71.710,70.840,71.920,70.640
2025-06-20,70.860,71.890,71.890,70.770
2025-06-23,71.510,71.230,71.840,70.970
2025-06-24,71.610,72.310,72.850,71.510
2025-06-25,72.310,72.690,72.840,71.810
2025-06-26,72.510,72.610,73.100,72.260
2025-06-27,72.570,71.790,72.700,71.730
2025-06-30,71.760,71.710,72.090,71.490
2025-07-01,71.790,71.620,71.860,71.310
2025-07-02,71.620,72.010,72.610,71.320
2025-07-03,72.300,72.400,72.460,71.850
2025-07-04,72.390,72.990,73.350,72.110
2025-07-07,72.710,72.060,72.960,71.840
2025-07-08,72.060,71.730,72.210,71.580
2025-07-09,71.580,71.310,71.860,71.310
2025-07-10,71.350,71.190,71.480,70.840
2025-07-11,71.250,71.990,72.310,71.200
2025-07-14,71.980,72.610,72.720,71.490
2025-07-15,72.620,72.720,73.010,72.320
2025-07-16,72.980,72.400,73.600,72.310
2025-07-17,72.260,72.140,72.940,72.110
2025-07-18,72.380,72.340,72.790,72.030
2025-07-21,72.120,72.060,72.470,71.910
2025-07-22,72.090,72.700,72.730,71.770
2025-07-23,72.710,73.010,73.360,72.690
2025-07-24,73.210,73.020,73.460,72.600
2025-07-25,72.910,72.270,72.910,72.060
2025-07-28,72.330,71.450,72.430,71.310
2025-07-29,71.450,70.750,71.580,70.530
2025-07-30,71.000,71.620,72.250,70.710
2025-07-31,71.510,69.700,71.530,69.390
2025-08-01,69.710,70.300,70.480,69.610
2025-08-04,70.060,70.450,70.510,69.710
2025-08-05,70.620,70.890,71.020,70.190
2025-08-06,70.890,71.210,71.290,70.500
2025-08-07,71.020,70.990,71.440,70.720
2025-08-08,70.910,71.090,71.340,70.800
2025-08-11,70.810,71.270,71.330,70.700
2025-08-12,71.260,71.440,71.950,71.110
2025-08-13,71.490,71.330,71.800,71.110
2025-08-14,71.310,71.840,72.560,71.230
2025-08-15,71.840,71.810,71.910,71.320
2025-08-18,71.820,71.350,72.070,71.120
2025-08-19,72.710,72.190,73.140,71.710
2025-08-20,71.720,71.730,71.830,71.020
2025-08-21,71.600,71.430,72.010,71.170
2025-08-22,71.480,71.600,71.700,71.160
2025-08-25,71.630,73.030,73.360,71.630
2025-08-26,73.030,73.310,73.790,72.820
2025-08-27,73.400,72.220,74.060,72.200
2025-08-28,72.220,73.010,73.480,72.020
2025-08-29,73.010,73.220,74.350,72.900
2025-09-01,74.510,73.540,75.350,73.030
2025-09-02,73.720,75.670,75.910,73.500
2025-09-03,76.060,75.130,76.650,74.460
2025-09-04,75.490,75.100,75.510,73.930
2025-09-05,75.320,75.730,76.200,74.950
2025-09-08,76.180,76.540,77.590,76.010
2025-09-09,76.530,76.690,77.110,75.860
2025-09-10,76.510,76.530,76.780,75.910
2025-09-11,76.410,76.530,76.780,75.410
2025-09-12,76.460,75.080,77.200,74.920
2025-09-15,74.710,74.680,75.460,74.010
2025-09-16,74.640,73.970,74.710,73.560
2025-09-17,73.920,73.860,74.940,73.680
2025-09-18,74.110,73.250,74.860,72.700
2025-09-19,72.920,73.860,74.100,72.720
2025-09-22,74.320,72.770,74.410,72.410
2025-09-23,72.760,73.040,73.160,72.230
2025-09-24,73.020,73.610,73.860,72.460
2025-09-25,72.810,72.350,73.260,72.060
2025-09-26,72.550,73.710,74.210,72.400
2025-09-29,73.940,73.240,74.060,72.560
2025-09-30,73.210,72.170,73.220,72.060
2025-10-09,71.860,72.140,72.480,70.890
2025-10-10,71.960,72.340,73.240,71.610
2025-10-13,70.890,71.320,71.620,70.530
2025-10-14,71.510,72.110,72.660,71.200
2025-10-15,72.310,72.430,73.000,72.110
2025-10-16,72.710,72.690,73.200,72.030
2025-10-17,72.210,72.310,73.100,72.150
2025-10-20,72.600,72.380,72.910,71.900
2025-10-21,72.410,72.420,72.770,72.090
2025-10-22,72.310,73.390,73.500,72.120
2025-10-23,73.310,74.400,74.460,73.190
2025-10-24,74.400,74.120,74.510,73.970
2025-10-27,74.250,74.390,74.860,73.880
2025-10-28,74.120,73.920,74.430,73.640
2025-10-29,73.760,73.910,73.930,73.010
2025-10-30,74.010,74.810,75.610,74.010
2025-10-31,74.710,75.910,76.340,74.610
2025-11-03,75.900,74.900,76.460,74.690
2025-11-04,74.630,74.670,75.300,74.410
2025-11-05,74.510,75.450,75.900,73.810
2025-11-06,75.450,76.540,76.940,75.450
2025-11-07,76.780,75.710,76.780,75.620
2025-11-10,75.770,76.840,77.060,75.460
2025-11-11,76.840,76.740,76.900,76.190
2025-11-12,76.740,79.000,80.060,76.740
2025-11-13,78.710,79.110,79.510,78.200
2025-11-14,79.010,78.740,79.930,78.560
2025-11-17,78.740,77.930,78.900,77.420
2025-11-18,78.290,77.400,78.660,77.000
2025-11-19,77.380,77.400,78.090,77.020
2025-11-20,77.500,77.940,78.880,77.030
2025-11-21,77.100,78.750,79.290,77.100
2025-11-24,78.600,78.560,79.480,78.250
2025-11-25,78.990,78.700,79.000,77.610
2025-11-26,78.690,79.800,80.000,78.410
2025-11-27,79.600,79.800,80.730,78.950
2025-11-28,79.800,79.860,80.070,79.330
2025-12-01,79.800,80.000,80.200,79.170
2025-12-02,80.100,81.560,81.660,80.010
2025-12-03,81.550,82.170,82.880,81.260
2025-12-04,82.130,81.890,83.170,81.770
2025-12-05,81.890,82.230,82.590,81.700
2025-12-08,83.000,81.810,83.100,81.040
2025-12-09,81.500,80.200,81.560,79.940
2025-12-10,79.980,80.070,80.620,79.700
2025-12-11,80.120,79.300,80.560,79.180
2025-12-12,79.350,79.320,79.980,79.200
2025-12-15,79.690,80.410,81.100,79.450
2025-12-16,80.250,79.960,80.850,79.840
